T,S,X0
694,0.0,68847.93
695,0.0,68804.8
696,0.0,68906.38
697,0.0,68898.89
698,0.0,68987.06
699,0.0,68866.88
700,0.0,68892.22
701,0.0,68799.86
702,0.0,68803.06
703,0.0,68836.42
704,0.0,68859.13
705,0.0,68847.88
706,0.0,68803.695
707,0.0,68812.06
708,0.0,68898.555
709,0.0,68806.02
710,0.0,68846.2
711,0.0,68783.39
712,0.0,68859.14
713,0.0,68865.77
714,0.0,68891.85
715,0.0,68890.27
716,0.0,68823.36
717,0.0,68831.4
718,0.0,68906.28
719,0.0,68890.76
720,0.0,68822.04
721,0.0,68870.65
722,0.0,68823.3
723,0.0,68897.99
724,0.0,68786.67
725,0.0,68862.4
726,0.0,68862.3
727,0.0,68857.336
728,0.0,68883.336
729,0.0,68842.305
730,0.0,68912.95
731,0.0,68824.984
732,0.0,68859.25
733,0.0,68852.58
734,0.0,68812.44
735,0.0,68831.46
736,0.0,68865.21
737,0.0,68899.96
738,0.0,68847.72
739,0.0,68858.21
740,0.0,68823.0
741,0.0,68772.67
742,0.0,68902.35
743,0.0,68737.23
744,0.0,68847.914
745,0.0,68781.984
746,0.0,68920.52
747,0.0,68835.6
748,0.0,68884.2
749,0.0,68857.914
750,0.0,68831.29
751,0.0,68837.555
752,0.0,68808.516
753,0.0,68740.88
754,0.0,68809.2
755,0.0,68882.61
756,0.0,68856.49
757,0.0,68825.33
758,0.0,68874.19
759,0.0,68798.586
760,0.0,68831.6
761,0.0,68869.53
762,0.0,68880.984
763,0.0,68846.664
764,0.0,68887.484
765,0.0,68764.125
766,0.0,68911.0
767,0.0,68854.3
768,0.0,68901.5
769,0.0,68909.51
770,0.0,68807.01
771,0.0,68923.44
772,0.0,68846.53
773,0.0,68823.84
774,0.0,68884.516
775,0.0,68903.45
776,0.0,68848.49
777,0.0,68867.89
778,0.0,68864.414
779,0.0,68901.625
780,0.0,68918.11
781,0.0,68814.28
782,0.0,68822.38
783,0.0,68788.35
784,0.0,68844.33
785,0.0,68870.99
786,0.0,68826.984
787,0.0,68844.78
788,0.0,68865.1
789,0.0,68899.99
790,0.0,68825.055
791,0.0,68836.375
792,0.0,68840.375
793,0.0,68876.15
794,0.0,68840.34
795,0.0,68856.81
796,0.0,68853.08
797,0.0,68784.195
798,0.0,68894.5
799,0.0,68875.32
800,0.0,68854.95
801,0.0,68865.984
802,0.0,68849.04
803,0.0,68850.08
804,0.0,68838.67
805,0.0,68897.7
806,0.0,68848.51
807,0.0,68893.72
808,0.0,68822.85
809,0.0,68893.484
810,0.0,68853.8
811,0.0,68850.93
812,0.0,68819.01
813,0.0,68881.52
814,0.0,68845.375
815,0.0,68842.96
816,0.0,68811.234
817,0.0,68845.41
818,0.0,68875.75
819,0.0,68903.73
820,0.0,68858.664
821,0.0,68816.06
822,0.0,68884.24
823,0.0,68774.516
824,0.0,68821.52
825,0.0,68828.445
826,0.0,68789.305
827,0.0,68947.98
828,0.0,68883.39
829,0.0,68835.65
830,0.0,68916.24
831,0.0,68915.25
832,0.0,68838.484
833,0.0,68790.67
834,0.0,68845.26
835,0.0,68835.5
836,0.0,68913.15
837,0.0,68865.555
838,0.0,68787.29
839,0.0,68793.18
840,0.0,68842.164
841,0.0,68919.31
842,0.0,68906.734
843,0.0,68835.16
844,0.0,68836.76
845,0.0,68854.95
846,0.0,68866.5
847,0.0,68869.91
848,0.0,68864.664
849,0.0,68833.32
850,0.0,68874.23
851,0.0,68920.06
852,0.0,68780.945
853,0.0,68827.01
854,0.0,68875.61
855,0.0,68855.88
856,0.0,68831.71
857,0.0,68778.99
858,0.0,68898.75
859,0.0,68806.04
860,0.0,68870.625
861,0.0,68802.63
862,0.0,68792.99
863,0.0,68895.82
864,0.0,68816.05
865,0.0,68903.58
866,0.0,68883.21
867,0.0,68875.875
868,0.0,68783.56
869,0.0,68863.02
870,0.0,68881.305
871,0.0,68745.36
872,0.0,68945.484
873,0.0,68824.42
874,0.0,68907.27
875,0.0,68929.69
876,0.0,68826.69
877,0.0,68854.0
878,0.0,68879.12
879,0.0,68876.35
880,0.0,68858.06
881,0.0,68762.31
882,0.0,68869.24
883,0.0,68779.7
884,0.0,68835.87
885,0.0,68738.06
886,0.0,68925.46
887,0.0,68886.88
888,0.0,68943.93
889,0.0,68884.46
890,0.0,68776.33
891,0.0,68858.195
892,0.0,68813.62
893,0.0,68808.08
894,0.0,68756.78
895,0.0,68838.4
896,0.0,68873.414
897,0.0,68797.664
898,0.0,68871.07
899,0.0,68953.1
900,0.0,68958.81
901,0.0,68871.88
902,0.0,68849.79
903,0.0,68857.77
904,0.0,68867.98
905,0.0,68788.79
906,0.0,68827.12
907,0.0,68847.36
908,0.0,68764.52
909,0.0,68858.17
910,0.0,68874.914
911,0.0,68897.14
912,0.0,68858.586
913,0.0,68829.1
914,0.0,68833.836
915,0.0,68825.41
916,0.0,68796.16
917,0.0,68783.875
918,0.0,68803.95
919,0.0,68855.71
920,0.0,68921.14
921,0.0,68789.15
922,0.0,68869.73
923,0.0,68819.67
924,0.0,68807.13
925,0.0,68793.73
926,0.0,68808.32
927,0.0,68785.586
928,0.0,68898.47
929,0.0,68802.07
930,0.0,68819.984
931,0.0,68889.67
932,0.0,68773.67
933,0.0,68757.67
934,0.0,68667.24
935,0.0,68880.64
936,0.0,68899.71
937,0.0,68876.516
938,0.0,68815.14
939,0.0,68814.02
940,0.0,68819.39
941,0.0,68868.664
942,0.0,68868.73
943,0.0,68900.23
944,0.0,68838.42
945,0.0,68813.1
946,0.0,68894.58
947,0.0,68796.445
948,0.0,68834.93
949,0.0,68875.98
950,0.0,68808.16
951,0.0,68823.555
952,0.0,68860.234
953,0.0,68885.62
954,0.0,68867.26
955,0.0,68847.99
956,0.0,68917.78
957,0.0,68758.22
958,0.0,68844.39
959,0.0,68880.38
960,0.0,68840.41
961,0.0,68789.92
962,0.0,68855.67
963,0.0,68799.266
964,0.0,68870.664
