T,S,X0
1410,0,1981
1411,0,-2912
1412,0,-2186
1413,0,-1450
1414,0,-802
1415,0,-3932
1416,0,3122
1417,0,297
1418,0,-680
1419,0,-1273
1420,0,4055
1421,0,6636
1422,0,7850
1423,0,1633
1424,0,-7403
1425,0,-1169
1426,0,-967
1427,0,-3628
1428,0,-3689
1429,0,2974
1430,0,5968
1431,0,10238
1432,0,8924
1433,0,-31
1434,0,-7756
1435,0,-7181
1436,0,-7054
1437,0,-2126
1438,0,2948
1439,0,9949
1440,0,12329
1441,0,4081
1442,0,-8004
1443,0,-78
1444,0,-1298
1445,0,238
1446,0,-2398
1447,0,-3665
1448,0,1200
1449,0,1441
1450,0,2529
1451,0,-2284
1452,0,5140
1453,0,6832
1454,0,3046
1455,0,-185
1456,0,643
1457,0,-5083
1458,0,-2975
1459,0,5413
1460,0,-1669
1461,0,1256
1462,0,-2362
1463,0,-4383
1464,0,5102
1465,0,9653
1466,0,7339
1467,0,4089
1468,0,-5103
1469,0,-9398
1470,0,-2903
1471,0,4457
1472,0,1490
1473,0,-762
1474,0,3576
1475,0,836
1476,0,817
1477,0,849
1478,0,-2411
1479,0,-1678
1480,0,3080
1481,0,7694
1482,0,6966
1483,0,-3157
1484,0,-4146
1485,0,-4682
1486,0,-129
1487,0,3054
1488,0,2299
1489,0,2884
1490,0,664
1491,0,-7779
1492,0,1053
1493,0,5138
1494,0,7846
1495,0,8692
1496,0,3560
1497,0,-1837
1498,0,-8041
1499,0,-5430
1500,0,-2104
1501,0,-8447
1502,0,-2985
1503,0,7942
1504,0,17715
1505,0,11692
1506,0,3697
1507,0,-2568
1508,0,-8562
1509,0,-10362
1510,0,3881
1511,0,-2962
1512,0,-2923
1513,0,4797
1514,0,8889
1515,0,7658
1516,0,1910
1517,0,-3798
1518,0,-4982
1519,0,-6301
1520,0,2146
1521,0,8083
1522,0,7023
1523,0,-296
1524,0,-1116
1525,0,-4748
1526,0,-4024
1527,0,-4284
1528,0,1003
1529,0,1277
1530,0,11379
1531,0,10473
1532,0,4979
1533,0,-3449
1534,0,-6177
1535,0,-7655
1536,0,-3142
1537,0,4597
1538,0,3337
1539,0,781
1540,0,3437
1541,0,2285
1542,0,724
1543,0,-4211
1544,0,-2021
1545,0,352
1546,0,2418
1547,0,5703
1548,0,2866
1549,0,6390
1550,0,4240
1551,0,-4089
1552,0,-3208
1553,0,-4831
1554,0,-1160
1555,0,-1333
1556,0,-2263
1557,0,2075
1558,0,7111
1559,0,3371
1560,0,2279
1561,0,7333
1562,0,2013
1563,0,-1752
1564,0,-3047
1565,0,-7324
1566,0,-949
1567,0,10399
1568,0,7479
1569,0,3399
1570,0,-10389
1571,0,-8743
1572,0,-3459
1573,0,8348
1574,0,15457
1575,0,5344
1576,0,-995
