Time,SAP_FLUX,PDCSAP_FLUX
288.064997530033,1032423.44,1040443.06
288.06567870651634,1032789.7,1040813.5
288.06635968299815,1032856.5,1040881.5
288.06704075948073,1032397.9,1040418.9
288.06772193608776,1032249.0,1040269.06
288.06840301257034,1032498.6,1040521.7
288.0690840890529,1032578.75,1040603.06
288.0697652656527,1032484.6,1040508.5
288.07044634213526,1032417.6,1040441.3
288.0711274186251,1032396.1,1040420.06
288.0718083951069,1032662.25,1040689.1
288.0724895717067,1032536.75,1040562.75
288.07317064818926,1032596.0,1040623.0
288.07385172467184,1032308.06,1040332.5
288.0745329012716,1032443.5,1040469.44
288.07521397776145,1032494.5,1040521.2
288.07589505424403,1032609.06,1040637.0
288.0765761307266,1032468.2,1040494.8
288.0772572073256,1032222.2,1040246.44
288.07793828381546,1032730.75,1040760.0
288.07861936029803,1032596.9,1040624.75
288.0793005367814,1032404.56,1040430.44
288.07998161338037,1032417.56,1040443.44
288.08066268986295,1032428.7,1040454.44
288.0813438663463,1032590.75,1040617.9
288.08202494295256,1032525.8,1040552.0
288.0827061194359,1032534.6,1040560.6
288.0833870959177,1032571.4,1040597.3
288.0840681724003,1032534.75,1040559.94
288.0847492489993,1032367.0,1040390.06
288.0854304254899,1032603.4,1040628.3
288.0861115019725,1032705.4,1040730.8
288.08679257845506,1032142.1,1040161.3
288.0874737550548,1032568.1,1040590.94
288.0881548315374,1032657.6,1040680.8
288.0888358080265,1032526.0,1040547.2
288.0895169845098,1032405.1,1040424.4
288.0901980611088,1032850.44,1040873.4
288.0908791375914,1032793.3,1040814.8
288.09156031407474,1032606.5,1040625.4
288.0922413905573,1032695.8,1040714.75
288.09292256716435,1032640.3,1040657.75
288.09360364364693,1032296.94,1040310.1
288.09428462012875,1032302.9,1040315.2
288.0949656966113,1032556.1,1040570.0
288.0956468732111,1032509.25,1040521.6
288.09632794970094,1032405.75,1040416.06
288.0970090261835,1032276.2,1040284.1
288.09769020266685,1032603.8,1040614.0
288.09837127926585,1032574.8,1040583.6
288.0990523557484,1032466.44,1040473.06
288.0997334322383,1032422.56,1040427.7
288.10041450872086,1032674.56,1040681.1
288.10109558531985,1032816.3,1040823.25
288.1017767618032,1032495.75,1040498.4
288.1024578382858,1032692.8,1040696.4
288.10313891476835,1032354.0,1040353.25
288.1038199913746,1032369.2,1040367.56
288.10450116785796,1032310.06,1040306.94
288.1051821443398,1032295.94,1040291.8
288.10586322082236,1032358.9,1040354.4
288.1065443973057,1032373.75,1040368.6
288.10722547391197,1032603.6,1040600.06
288.10790655039455,1032570.56,1040565.94
288.1085877268779,1032546.0,1040540.5
288.10926880336046,1032699.9,1040695.44
288.10994987995946,1032649.9,1040644.44
288.1106309564493,1032574.25,1040567.6
288.1113120329319,1032683.6,1040677.75
288.11199310941447,1032387.1,1040378.1
288.1126742858978,1032497.94,1040489.9
288.1133553624968,1032636.3,1040629.56
288.11403643898666,1032397.06,1040388.0
288.11471761547,1032676.5,1040670.4
288.1153986919526,1032353.9,1040344.9
288.1160796685508,1032720.7,1040715.8
288.1167607450334,1032376.06,1040368.3
288.11744192151673,1031282.9,1039264.8
288.1181229980066,1030617.2,1038593.3
288.1188041744899,1032500.7,1040496.4
288.1194852509725,1032535.56,1040532.5
288.1201663275715,1032584.9,1040583.4
288.12084750405484,1032344.3,1040341.5
288.12152848054393,1032503.75,1040503.6
288.1222095570265,1032689.06,1040692.0
288.12289073362626,1032353.06,1040353.9
288.12357181010884,1032784.8,1040791.25
288.1242528865914,1032745.9,1040753.3
288.12493406307476,1032216.75,1040220.25
288.1256151395646,1032330.9,1040336.9
288.1262962160472,1032382.6,1040390.5
288.1269772926462,1032349.8,1040358.75
288.12765836912877,1032193.75,1040202.56
288.12833944561135,1032551.5,1040565.2
288.12902062210196,1032724.3,1040741.06
288.12970169858454,1032498.9,1040514.6
288.13038277518353,1032692.06,1040711.0
288.1310638516661,1032709.06,1040729.4
288.13174502814945,1032371.5,1040389.6
288.13242600463855,1032382.25,1040401.6
288.1331070811211,1032161.94,1040180.2
288.1337882577209,1032622.0,1040645.75
288.13446933420346,1032470.25,1040493.4
288.13515041068604,1032350.7,1040373.3
288.1358315871694,1032544.6,1040569.94
288.13651266365923,1031978.8,1039999.0
288.1371937401418,1032268.8,1040292.3
288.1378748167408,1032553.7,1040580.4
288.1385558932234,1032441.06,1040466.9
288.13923696971324,1032282.44,1040306.9
288.1399180461958,1032436.75,1040462.8
288.14059922267916,1032451.94,1040478.1
288.14128029916174,1032436.3,1040462.25
288.14196137576073,1032402.94,1040428.4
288.14264255224407,1032165.9,1040188.8
288.1433236287339,1032338.9,1040363.25
288.14400460521574,1032655.7,1040682.94
288.1446857816991,1032491.56,1040516.8
288.1453668582981,1032398.06,1040422.1
288.14604793478065,1032467.75,1040492.1
288.14672911127127,1032568.7,1040593.6
288.14741018775385,1032350.25,1040372.56
288.1480913642372,1031068.6,1039077.8
288.14877244071977,1033026.5,1041054.75
288.1494534172016,1032583.06,1040606.56
288.15013449380785,1032381.3,1040402.4
288.1508156702912,1032331.2,1040351.44
288.1514967467738,1032298.4,1040318.0
288.1521779232571,1032571.44,1040593.44
288.1528589997397,1032334.75,1040354.2
